asli;olah;target
"2021 covid

Anak gw udah vaksin semua yg di bawah sini btw 🥳🥳 proud of myself https://t.co/s8q1pcgO0H";"Vaccines that changed your life: 
1796 smallpox
1885 rabies
1890 tetanus
1896 typhoid fever
1906 TB 
1923 diphtheria 
1926 whooping cough 
1932 yellow fever 
1937 flu 
1952 polio 
1963 measles 
1967 mumps 
1969 rubella 
1974 chickenpox
";positive
"Perkara blm vaksin jadi gabisa main🤢
Padahal mau liat temen gue debut juga anjiir😔 https://t.co/ltNIrFn0l8";"Perkara blm vaksin jadi gabisa main🤢
Padahal mau liat temen gue debut juga anjiir😔";negative
@jokowi nya dapat membantu saya agar sertifikat vaksin ke dosis ke 2 saya muncul di aplikasi Peduli Lindungi . Teta… https://t.co/Wog6JbT0z0;nya dapat membantu saya agar sertifikat vaksin ke dosis ke 2 saya muncul di aplikasi Peduli Lindungi . Tetapi semua nihil tidak ada yang mau bantu dan peduli, saya jadi sulit untuk berangkat berlayar dikarenakan harus full vaksin dosis 1 dan dosis 2. Jadi saya mohon kiranya bapak;negative
Ada kenalan, cikgu prasekolah di Tganu menolak vaksin. Segala nasihat, pujukan dan sekarang perlian dan carutan, ma… https://t.co/f0HZthgwLg;Ada kenalan, cikgu prasekolah di Tganu menolak vaksin. Segala nasihat, pujukan dan sekarang perlian dan carutan, masih tegar. Prasekolah akan dibuka tidak lama lagi...;positive
Percepatan vaksinasi yang dilakukan Polda Papua bersama dengan dinas Pendidikan yang melibatkan siswa/siswi sekolah… https://t.co/xRWcMQKfCm;"Percepatan vaksinasi yang dilakukan Polda Papua bersama dengan dinas Pendidikan yang melibatkan siswa/siswi sekolah menjadi duta vaksin di papua sangat diapresiasi oleh KSP

#PolriGelorakanVaksinasi
Prokes Sambut PON";positive
Amerika Serikat Dibanjiri Kartu Vaksin Palsu dari China  https://t.co/3Avrhxcrqx;;negative
Sekjen PBB Soroti Vaksin Kedaluwarsa di Saat Negara Miskin Tak Pernah Kebagian Jatah  https://t.co/DCzGwCnvrZ;;negative
aku lupa kalo abis vaksin, terus mau tidur hadep kiri rasanya mak nyus😭 kemeng..;;neutral
684.900 Dosis Vaksin AstraZeneca Mendarat di Bandara Soetta  https://t.co/HvlazTe2PX;;neutral
Prajurit TNI AL Lantamal 3 melakukan serbuan vaksin untuk nelayan di pesisir Jakarta. Vaksinasi massal itu diberika… https://t.co/G27gEFX0zT;"Prajurit TNI AL Lantamal 3 melakukan serbuan vaksin untuk nelayan di pesisir Jakarta. Vaksinasi massal itu diberikan sebagai upaya cegah lonjakan kasus COVID-19
";positive
melaksanakan PAM  pelaksanaan VAksin   ke1 MODERNA di Puskesmas kel.Brohol, dan utk   pencegahan penularan Covid-19… https://t.co/FWiotniAvR;melaksanakan PAM  pelaksanaan VAksin   ke1 MODERNA di Puskesmas kel.Brohol, dan utk   pencegahan penularan Covid-19  dengan tetap mematuhi protokol kesehatan yang ditetapkan oleh pemerintah;positive
@lqvedoie JAP KAU DH VAKSIN KE BELUM?;;neutral
@merlynn96 Masyarakat sekitar jangan lupa vaksin yahhh;;positive
"@Adam108703801 @Benk299120211 Yg disana itu vaksin apa &amp; utk apa ?
Coba dijelaskan !";;negative
Bolehkah Penderita Alergi Obat Sulfa Suntik Vaksin Covid-19? https://t.co/GqmXtHvTU6;;neutral
"""Keadilan vaksin dapat tercapai jika ketersediaan vaksin baik."" - dr. Mese Autapah… https://t.co/fRACeJLdIm";"""Keadilan vaksin dapat tercapai jika ketersediaan vaksin baik."" - dr. Mese Autapah

#KataWargaTentangPengalamanVaksinasi 
@KawalCOVID19
 
@KATADATAcoid";neutral
yaallah mana abis vaksin jd nundutan kieu bari jeung les mapelna fisika deui 🤏🏻😩;;neutral
